issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2023-11-03,G,11829,0,D,1554602,D,AMD,2023-11-07,2023-11-07 21:16:33+00:00,0000002488-23-000197,https://www.sec.gov/Archives/edgar/data/2488/000000248823000197/wk-form4_1699391753.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-09-12,M,75000,12.83,A,3433721,D,AMD,2023-09-14,2023-09-14 20:08:46+00:00,0000002488-23-000183,https://www.sec.gov/Archives/edgar/data/2488/000000248823000183/wk-form4_1694722114.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-09-12,S,1400,103.56,D,3432321,D,AMD,2023-09-14,2023-09-14 20:08:46+00:00,0000002488-23-000183,https://www.sec.gov/Archives/edgar/data/2488/000000248823000183/wk-form4_1694722114.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-09-12,S,25592,104.97,D,3406729,D,AMD,2023-09-14,2023-09-14 20:08:46+00:00,0000002488-23-000183,https://www.sec.gov/Archives/edgar/data/2488/000000248823000183/wk-form4_1694722114.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-09-12,S,46408,105.65,D,3360321,D,AMD,2023-09-14,2023-09-14 20:08:46+00:00,0000002488-23-000183,https://www.sec.gov/Archives/edgar/data/2488/000000248823000183/wk-form4_1694722114.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-09-12,S,1600,106.55,D,3358721,D,AMD,2023-09-14,2023-09-14 20:08:46+00:00,0000002488-23-000183,https://www.sec.gov/Archives/edgar/data/2488/000000248823000183/wk-form4_1694722114.xml
0000002488,AMD,GRASBY PAUL DARREN,0,1,EVP Strategic Partnerships,0,Common Stock,2023-08-30,S,14942,106.21,D,103663,D,AMD,2023-09-01,2023-09-01 20:04:07+00:00,0000002488-23-000181,https://www.sec.gov/Archives/edgar/data/2488/000000248823000181/wk-form4_1693598635.xml
0000002488,AMD,WOLIN HARRY A,0,1,"SVP, GC & Corporate Secretary",0,Common Stock,2023-08-28,G,18330,0,D,1433596,D,AMD,2023-08-30,2023-08-30 20:14:40+00:00,0000002488-23-000179,https://www.sec.gov/Archives/edgar/data/2488/000000248823000179/wk-form4_1693426470.xml
0000002488,AMD,PENG VICTOR,0,1,"President, AMD",0,Common Stock,2023-08-25,G,4057,0,D,0,D,AMD,2023-08-29,2023-08-29 20:10:19+00:00,0000002488-23-000177,https://www.sec.gov/Archives/edgar/data/2488/000000248823000177/wk-form4_1693339807.xml
0000002488,AMD,PENG VICTOR,0,1,"President, AMD",0,Common Stock,2023-08-25,G,4057,0,A,341266,I,AMD,2023-08-29,2023-08-29 20:10:19+00:00,0000002488-23-000177,https://www.sec.gov/Archives/edgar/data/2488/000000248823000177/wk-form4_1693339807.xml
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2023-08-16,M,71145,0,A,1594427,D,AMD,2023-08-18,2023-08-18 20:32:58+00:00,0000002488-23-000175,https://www.sec.gov/Archives/edgar/data/2488/000000248823000175/wk-form4_1692390769.xml
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2023-08-16,F,27996,107.19,D,1566431,D,AMD,2023-08-18,2023-08-18 20:32:58+00:00,0000002488-23-000175,https://www.sec.gov/Archives/edgar/data/2488/000000248823000175/wk-form4_1692390769.xml
0000002488,AMD,Norrod Forrest Eugene,0,1,EVP & GM DESG,0,Common Stock,2023-08-16,M,49405,0,A,308131,D,AMD,2023-08-18,2023-08-18 20:31:06+00:00,0000002488-23-000173,https://www.sec.gov/Archives/edgar/data/2488/000000248823000173/wk-form4_1692390653.xml
0000002488,AMD,Norrod Forrest Eugene,0,1,EVP & GM DESG,0,Common Stock,2023-08-16,F,19441,107.19,D,288690,D,AMD,2023-08-18,2023-08-18 20:31:06+00:00,0000002488-23-000173,https://www.sec.gov/Archives/edgar/data/2488/000000248823000173/wk-form4_1692390653.xml
0000002488,AMD,GRASBY PAUL DARREN,0,1,EVP Strategic Partnerships,0,Common Stock,2023-08-16,M,59287,0,A,146470,D,AMD,2023-08-18,2023-08-18 20:28:47+00:00,0000002488-23-000171,https://www.sec.gov/Archives/edgar/data/2488/000000248823000171/wk-form4_1692390516.xml
0000002488,AMD,GRASBY PAUL DARREN,0,1,EVP Strategic Partnerships,0,Common Stock,2023-08-16,F,27865,107.19,D,118605,D,AMD,2023-08-18,2023-08-18 20:28:47+00:00,0000002488-23-000171,https://www.sec.gov/Archives/edgar/data/2488/000000248823000171/wk-form4_1692390516.xml
0000002488,AMD,HUYNH JACK M,0,1,"SVP & GM, Computing & Graphics",0,Common Stock,2023-08-16,M,4940,0,A,416272,D,AMD,2023-08-18,2023-08-18 20:24:33+00:00,0000002488-23-000169,https://www.sec.gov/Archives/edgar/data/2488/000000248823000169/wk-form4_1692390265.xml
0000002488,AMD,HUYNH JACK M,0,1,"SVP & GM, Computing & Graphics",0,Common Stock,2023-08-16,F,1820,107.19,D,414452,D,AMD,2023-08-18,2023-08-18 20:24:33+00:00,0000002488-23-000169,https://www.sec.gov/Archives/edgar/data/2488/000000248823000169/wk-form4_1692390265.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-08-16,M,273615,0,A,3466389,D,AMD,2023-08-18,2023-08-18 20:18:19+00:00,0000002488-23-000167,https://www.sec.gov/Archives/edgar/data/2488/000000248823000167/wk-form4_1692389889.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-08-16,F,107668,107.19,D,3358721,D,AMD,2023-08-18,2023-08-18 20:18:19+00:00,0000002488-23-000167,https://www.sec.gov/Archives/edgar/data/2488/000000248823000167/wk-form4_1692389889.xml
0000002488,AMD,WOLIN HARRY A,0,1,"SVP, GC & Corporate Secretary",0,Common Stock,2023-08-16,M,36560,0,A,1466227,D,AMD,2023-08-18,2023-08-18 20:13:51+00:00,0000002488-23-000165,https://www.sec.gov/Archives/edgar/data/2488/000000248823000165/wk-form4_1692389621.xml
0000002488,AMD,WOLIN HARRY A,0,1,"SVP, GC & Corporate Secretary",0,Common Stock,2023-08-16,F,14301,107.19,D,1451926,D,AMD,2023-08-18,2023-08-18 20:13:51+00:00,0000002488-23-000165,https://www.sec.gov/Archives/edgar/data/2488/000000248823000165/wk-form4_1692389621.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-08-15,M,75000,12.83,A,3267774,D,AMD,2023-08-17,2023-08-17 20:10:23+00:00,0000002488-23-000163,https://www.sec.gov/Archives/edgar/data/2488/000000248823000163/wk-form4_1692303009.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-08-15,S,17061,110.86,D,3250713,D,AMD,2023-08-17,2023-08-17 20:10:23+00:00,0000002488-23-000163,https://www.sec.gov/Archives/edgar/data/2488/000000248823000163/wk-form4_1692303009.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-08-15,S,48981,111.67,D,3201732,D,AMD,2023-08-17,2023-08-17 20:10:23+00:00,0000002488-23-000163,https://www.sec.gov/Archives/edgar/data/2488/000000248823000163/wk-form4_1692303009.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-08-15,S,8958,112.56,D,3192774,D,AMD,2023-08-17,2023-08-17 20:10:23+00:00,0000002488-23-000163,https://www.sec.gov/Archives/edgar/data/2488/000000248823000163/wk-form4_1692303009.xml
0000002488,AMD,GRASBY PAUL DARREN,0,1,EVP Strategic Partnerships,0,Common Stock,2023-08-09,M,11777,0,A,92719,D,AMD,2023-08-11,2023-08-11 20:29:26+00:00,0000002488-23-000161,https://www.sec.gov/Archives/edgar/data/2488/000000248823000161/wk-form4_1691785757.xml
0000002488,AMD,GRASBY PAUL DARREN,0,1,EVP Strategic Partnerships,0,Common Stock,2023-08-09,F,5536,110.47,D,87183,D,AMD,2023-08-11,2023-08-11 20:29:26+00:00,0000002488-23-000161,https://www.sec.gov/Archives/edgar/data/2488/000000248823000161/wk-form4_1691785757.xml
0000002488,AMD,HUYNH JACK M,0,1,"SVP & GM, Computing & Graphics",0,Common Stock,2023-08-09,M,6759,0,A,412979,D,AMD,2023-08-11,2023-08-11 20:27:05+00:00,0000002488-23-000159,https://www.sec.gov/Archives/edgar/data/2488/000000248823000159/wk-form4_1691785612.xml
0000002488,AMD,HUYNH JACK M,0,1,"SVP & GM, Computing & Graphics",0,Common Stock,2023-08-09,F,1647,110.47,D,411332,D,AMD,2023-08-11,2023-08-11 20:27:05+00:00,0000002488-23-000159,https://www.sec.gov/Archives/edgar/data/2488/000000248823000159/wk-form4_1691785612.xml
0000002488,AMD,Norrod Forrest Eugene,0,1,EVP & GM DESG,0,Common Stock,2023-08-09,M,9727,0,A,261543,D,AMD,2023-08-11,2023-08-11 20:25:16+00:00,0000002488-23-000157,https://www.sec.gov/Archives/edgar/data/2488/000000248823000157/wk-form4_1691785499.xml
0000002488,AMD,Norrod Forrest Eugene,0,1,EVP & GM DESG,0,Common Stock,2023-08-09,F,2817,110.47,D,258726,D,AMD,2023-08-11,2023-08-11 20:25:16+00:00,0000002488-23-000157,https://www.sec.gov/Archives/edgar/data/2488/000000248823000157/wk-form4_1691785499.xml
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2023-08-09,M,15178,0,A,1528423,D,AMD,2023-08-11,2023-08-11 20:17:18+00:00,0000002488-23-000155,https://www.sec.gov/Archives/edgar/data/2488/000000248823000155/wk-form4_1691785029.xml
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2023-08-09,F,5141,110.47,D,1523282,D,AMD,2023-08-11,2023-08-11 20:17:18+00:00,0000002488-23-000155,https://www.sec.gov/Archives/edgar/data/2488/000000248823000155/wk-form4_1691785029.xml
0000002488,AMD,SMITH DARLA M,0,0,,0,Common Stock,2023-08-09,M,3046,0,A,10599,D,AMD,2023-08-11,2023-08-11 20:15:30+00:00,0000002488-23-000153,https://www.sec.gov/Archives/edgar/data/2488/000000248823000153/wk-form4_1691784918.xml
0000002488,AMD,SMITH DARLA M,0,0,,0,Common Stock,2023-08-09,F,1055,110.47,D,9544,D,AMD,2023-08-11,2023-08-11 20:15:30+00:00,0000002488-23-000153,https://www.sec.gov/Archives/edgar/data/2488/000000248823000153/wk-form4_1691784918.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-08-09,M,50456,0,A,3212526,D,AMD,2023-08-11,2023-08-11 20:13:48+00:00,0000002488-23-000151,https://www.sec.gov/Archives/edgar/data/2488/000000248823000151/wk-form4_1691784815.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2023-08-09,F,19752,110.47,D,3192774,D,AMD,2023-08-11,2023-08-11 20:13:48+00:00,0000002488-23-000151,https://www.sec.gov/Archives/edgar/data/2488/000000248823000151/wk-form4_1691784815.xml
0000002488,AMD,WOLIN HARRY A,0,1,"SVP, GC & Corporate Secretary",0,Common Stock,2023-08-09,M,6350,0,A,1431214,D,AMD,2023-08-11,2023-08-11 20:11:42+00:00,0000002488-23-000149,https://www.sec.gov/Archives/edgar/data/2488/000000248823000149/wk-form4_1691784689.xml
0000002488,AMD,WOLIN HARRY A,0,1,"SVP, GC & Corporate Secretary",0,Common Stock,2023-08-09,F,1547,110.47,D,1429667,D,AMD,2023-08-11,2023-08-11 20:11:42+00:00,0000002488-23-000149,https://www.sec.gov/Archives/edgar/data/2488/000000248823000149/wk-form4_1691784689.xml
0000002488,AMD,PENG VICTOR,0,1,"President, AMD",0,Common Stock,2023-08-09,M,6517,0,A,6517,D,AMD,2023-08-11,2023-08-11 20:05:43+00:00,0000002488-23-000143,https://www.sec.gov/Archives/edgar/data/2488/000000248823000143/wk-form4_1691784333.xml
0000002488,AMD,PENG VICTOR,0,1,"President, AMD",0,Common Stock,2023-08-09,F,2460,110.47,D,4057,D,AMD,2023-08-11,2023-08-11 20:05:43+00:00,0000002488-23-000143,https://www.sec.gov/Archives/edgar/data/2488/000000248823000143/wk-form4_1691784333.xml
