filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2025-11-19,2025-11-19 23:46:14+00:00,0000950103-25-015039,xslF345X05/dp237381_4-kimmitt.xml,4,META
2025-11-18,2025-11-19 00:06:55+00:00,0000950103-25-014967,xslF345X05/dp237562_4-olivan.xml,4,META
2025-11-18,2025-11-19 00:05:33+00:00,0000950103-25-014966,xslF345X05/dp237561_4-li.xml,4,META
2025-11-18,2025-11-19 00:04:09+00:00,0000950103-25-014965,xslF345X05/dp237559_4-cox.xml,4,META
2025-11-18,2025-11-19 00:03:45+00:00,0000950103-25-014964,xslF345X05/dp237558_4-bosworth.xml,4,META
2025-11-18,2025-11-19 00:02:00+00:00,0000950103-25-014963,xslF345X05/dp237563_4-newstead.xml,4,META
2025-11-18,2025-11-19 00:01:30+00:00,0000950103-25-014962,xslF345X05/dp237384_4-tan.xml,4,META
2025-11-18,2025-11-19 00:00:16+00:00,0000950103-25-014961,xslF345X05/dp237383_4-songhurst.xml,4,META
2025-11-18,2025-11-18 23:58:33+00:00,0000950103-25-014960,xslF345X05/dp237385_4-white.xml,4,META
2025-11-18,2025-11-18 23:56:52+00:00,0000950103-25-014959,xslF345X05/dp237386_4-xu.xml,4,META
2025-11-18,2025-11-18 23:55:04+00:00,0000950103-25-014958,xslF345X05/dp237557_4-anderson.xml,4,META
2025-11-18,2025-11-18 23:50:54+00:00,0000950103-25-014957,xslF345X05/dp237378_4-arnold.xml,4,META
2025-11-18,2025-11-18 23:48:10+00:00,0000950103-25-014956,xslF345X05/dp237379_4-collison.xml,4,META
2025-11-18,2025-11-18 23:46:17+00:00,0000950103-25-014955,xslF345X05/dp237380_4-elkann.xml,4,META
2025-11-18,2025-11-18 23:44:20+00:00,0000950103-25-014954,xslF345X05/dp237382_4-powell.xml,4,META
2025-11-12,2025-11-12 23:25:51+00:00,0000950103-25-014638,xslF345X05/dp237211_4-olivan.xml,4,META
2025-11-12,2025-11-12 23:20:52+00:00,0000950103-25-014637,xslF345X05/dp237210_4-newstead.xml,4,META
2025-11-06,2025-11-06 23:12:37+00:00,0000950103-25-014438,xslF345X05/dp236998_4-newstead.xml,4,META
2025-11-05,2025-11-05 23:48:37+00:00,0000950103-25-014374,xslF345X05/dp236884_4-olivan.xml,4,META
2025-11-04,2025-11-04 23:43:46+00:00,0000950103-25-014304,xslF345X05/dp236823_4-zuckerberg1031.xml,4,META
2025-11-04,2025-11-04 23:20:43+00:00,0000950103-25-014302,xslF345X05/dp236747_4-alford.xml,4,META
2025-10-30,2025-10-30 22:53:15+00:00,0000950103-25-013997,xslF345X05/dp236460_4-newstead.xml,4,META
2025-10-29,2025-10-29 22:38:49+00:00,0000950103-25-013838,xslF345X05/dp236359_4-olivan.xml,4,META
2025-10-23,2025-10-23 22:04:15+00:00,0000950103-25-013596,xslF345X05/dp236185_4-newstead.xml,4,META
2025-10-22,2025-10-22 22:36:56+00:00,0000950103-25-013541,xslF345X05/dp236130_4-olivan.xml,4,META
2025-10-17,2025-10-17 22:24:13+00:00,0000950103-25-013359,xslF345X05/dp235923_4-kimmitt.xml,4,META
2025-10-16,2025-10-16 22:31:44+00:00,0000950103-25-013288,xslF345X05/dp235845_4-newstead.xml,4,META
2025-10-15,2025-10-15 22:11:24+00:00,0000950103-25-013233,xslF345X05/dp235808_4-olivan.xml,4,META
2025-10-09,2025-10-09 22:29:21+00:00,0000950103-25-013052,xslF345X05/dp235627_4-newstead.xml,4,META
2025-10-08,2025-10-08 22:31:38+00:00,0000950103-25-012989,xslF345X05/dp235571_4-olivan.xml,4,META
2025-10-02,2025-10-02 22:15:43+00:00,0000950103-25-012794,xslF345X05/dp235298_4-newstead.xml,4,META
2025-10-01,2025-10-02 00:50:06+00:00,0000950103-25-012701,xslF345X05/dp235187_4-olivan.xml,4,META
2025-09-25,2025-09-25 23:15:13+00:00,0000950103-25-012242,xslF345X05/dp234779_4-newstead.xml,4,META
2025-09-24,2025-09-24 22:09:34+00:00,0000950103-25-012157,xslF345X05/dp234666_4-olivan.xml,4,META
2025-09-18,2025-09-18 22:26:23+00:00,0000950103-25-011843,xslF345X05/dp234437_4-newstead.xml,4,META
2025-09-17,2025-09-17 22:51:07+00:00,0000950103-25-011787,xslF345X05/dp234403_4-olivan.xml,4,META
2025-09-17,2025-09-17 22:33:02+00:00,0000950103-25-011785,xslF345X05/dp234404_4-kimmitt.xml,4,META
2025-09-11,2025-09-11 23:58:59+00:00,0000950103-25-011556,xslF345X05/dp234198_4-newstead.xml,4,META
2025-09-10,2025-09-10 22:15:39+00:00,0000950103-25-011509,xslF345X05/dp234122_4-olivan.xml,4,META
2025-09-04,2025-09-04 22:24:24+00:00,0000950103-25-011299,xslF345X05/dp233881_4-newstead.xml,4,META
2025-09-04,2025-09-04 22:20:10+00:00,0000950103-25-011298,xslF345X05/dp233880_4-olivan.xml,4,META
2025-08-28,2025-08-28 22:37:29+00:00,0000950103-25-010935,xslF345X05/dp233505_4-anderson.xml,4,META
2025-08-28,2025-08-28 22:33:19+00:00,0000950103-25-010933,xslF345X05/dp233504_4-newstead.xml,4,META
2025-08-27,2025-08-27 22:14:47+00:00,0000950103-25-010816,xslF345X05/dp233408_4-olivan.xml,4,META
2025-08-19,2025-08-20 00:00:06+00:00,0000950103-25-010488,xslF345X05/dp232991_4-arnold.xml,4,META
2025-08-19,2025-08-19 23:58:10+00:00,0000950103-25-010487,xslF345X05/dp233175_4-newstead.xml,4,META
2025-08-19,2025-08-19 23:57:39+00:00,0000950103-25-010486,xslF345X05/dp232994_4-powell.xml,4,META
2025-08-19,2025-08-19 23:55:10+00:00,0000950103-25-010485,xslF345X05/dp233149_4-anderson.xml,4,META
2025-08-19,2025-08-19 23:53:48+00:00,0000950103-25-010484,xslF345X05/dp232996_4-tan.xml,4,META
2025-08-19,2025-08-19 23:52:28+00:00,0000950103-25-010483,xslF345X05/dp233148_4-kimmitt.xml,4,META
2025-08-19,2025-08-19 23:50:18+00:00,0000950103-25-010482,xslF345X05/dp232997_4-white.xml,4,META
2025-08-19,2025-08-19 23:48:17+00:00,0000950103-25-010481,xslF345X05/dp232993_4-elkann.xml,4,META
2025-08-19,2025-08-19 23:46:09+00:00,0000950103-25-010480,xslF345X05/dp232992_4-collison.xml,4,META
2025-08-19,2025-08-19 23:44:17+00:00,0000950103-25-010479,xslF345X05/dp232995_4-songhurst.xml,4,META
2025-08-19,2025-08-19 23:42:13+00:00,0000950103-25-010478,xslF345X05/dp232998_4-xu.xml,4,META
2025-08-19,2025-08-19 23:40:22+00:00,0000950103-25-010477,xslF345X05/dp233150_4-cox.xml,4,META
2025-08-19,2025-08-19 23:38:11+00:00,0000950103-25-010476,xslF345X05/dp233174_4-bosworth.xml,4,META
2025-08-19,2025-08-19 23:12:04+00:00,0000950103-25-010475,xslF345X05/dp233181_4-li.xml,4,META
2025-08-19,2025-08-19 23:07:35+00:00,0000950103-25-010474,xslF345X05/dp233176_4-olivan.xml,4,META
2025-08-13,2025-08-14 00:34:50+00:00,0000950103-25-010271,xslF345X05/dp233043_4-zuckerberg.xml,4,META
2025-08-13,2025-08-14 00:30:56+00:00,0000950103-25-010270,xslF345X05/dp232990_4-zuckerberg0812.xml,4,META
2025-08-13,2025-08-14 00:24:48+00:00,0000950103-25-010269,xslF345X05/dp232986_4-zuckerberg0811.xml,4,META
2025-08-13,2025-08-13 22:33:12+00:00,0000950103-25-010258,xslF345X05/dp232944_4-olivan.xml,4,META
2025-08-11,2025-08-11 22:14:04+00:00,0000950103-25-010158,xslF345X05/dp232913_4-zuckerberg0807.xml,4,META
2025-08-11,2025-08-11 22:12:49+00:00,0000950103-25-010157,xslF345X05/dp232914_4-zuckerberg0808.xml,4,META
2025-08-08,2025-08-08 22:35:08+00:00,0000950103-25-010127,xslF345X05/dp232819_4-cox.xml,4,META
2025-08-07,2025-08-07 22:28:48+00:00,0000950103-25-010077,xslF345X05/dp232752_4-newstead.xml,4,META
2025-08-07,2025-08-07 22:26:28+00:00,0000950103-25-010076,xslF345X05/dp232753_4-cox.xml,4,META
2025-08-06,2025-08-07 01:06:35+00:00,0000950103-25-010038,xslF345X05/dp232802_4-zuckerberg0806.xml,4,META
